model,image,haze_level,psnr,ssim
AOD-Net,1442_1.png,1,10.405328076558249,0.6180796027183533
AOD-Net,1442_2.png,2,14.959642852774673,0.7133538126945496
AOD-Net,1442_3.png,3,9.50096412114144,0.5930349826812744
AOD-Net,1442_4.png,4,9.109503251021975,0.5812463164329529
AOD-Net,1442_5.png,5,8.746651110390452,0.5697936415672302
FFA-Net,1442_1.png,1,35.47292477876886,0.9916808605194092
FFA-Net,1442_2.png,2,36.49466579506249,0.9925022125244141
FFA-Net,1442_3.png,3,34.64708175966446,0.9895042777061462
FFA-Net,1442_4.png,4,34.352114406988235,0.988426923751831
FFA-Net,1442_5.png,5,33.885589134506155,0.9872684478759766
